dte,band,spread_type,flow_mode,spread_width,entry_time_pst,entry_time_et,time_bucket,expected_win_pct,expected_roi_pct,sharpe,expected_credit,max_risk_per_contract,avg_pnl,n_trades,trade_score
5,P100,iron_condor,neutral,80,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.5,214.56,0.471,23316.37,10867.02,1074.19,59,114.14843095531249
1,P100,put_spread,with_flow,10,06:30,09:30,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),100.0,99.2,0.623,823.62,830.23,411.81,13,113.87371008033918
3,P100,iron_condor,neutral,30,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.0,220.28,0.339,21130.85,9592.77,503.89,60,113.86690352630158
3,P100,iron_condor,neutral,40,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),90.0,219.46,0.337,21378.33,9741.4,517.74,60,113.61409298458128
1,P99,put_spread,with_flow,5,06:30,09:30,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),100.0,106.51,0.808,1053.0,988.67,526.5,12,113.32069679974106
1,P99,put_spread,with_flow,10,06:30,09:30,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),100.0,106.51,0.808,1053.0,988.67,526.5,12,113.32069679974106
5,P100,iron_condor,neutral,25,07:15,10:15,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),98.2,197.54,0.306,17261.53,8738.42,1120.23,55,113.0417432739557
1,P95,iron_condor,neutral,5,06:30,09:30,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),97.1,150.32,0.426,2195.88,1460.76,1084.12,34,112.93950305320517
5,P100,iron_condor,against_flow,30,07:15,10:15,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),98.1,197.25,0.318,18265.1,9260.08,1200.42,52,112.87630855456972
5,P100,iron_condor,with_flow,30,07:15,10:15,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),98.1,197.25,0.318,18265.1,9260.08,1200.42,52,112.87630855456972
3,P98,iron_condor,neutral,30,07:45,10:45,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),93.0,208.25,0.335,18589.37,8926.65,731.65,71,112.78298215175904
5,P100,iron_condor,neutral,85,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.7,203.83,0.456,22980.67,11274.7,1126.07,60,111.39938311884131
3,P98,iron_condor,with_flow,65,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.8,204.53,0.364,21401.36,10463.72,831.03,61,111.03586612982762
3,P98,iron_condor,against_flow,65,07:30,10:30,B: 07:00-08:45 PST / 10:00-11:45 ET (15-min),91.8,204.53,0.364,21401.36,10463.72,831.03,61,111.03586612982762
