dte,band,band_description,max_width_cap,time_pst,time_et,time_bucket_id,time_bucket,spread_type,flow_mode,spread_width,n_trades,win_rate_pct,avg_credit,avg_max_risk,n_contracts,avg_credit_30k,roi_pct,avg_pnl,avg_pnl_30k,total_pnl_30k,median_pnl,min_pnl,max_pnl,pnl_std,sharpe,avg_hold_days,pass_win_rate,pass_roi,pass_min_trades,pass_sharpe,pass_avg_pnl,successful,score_balanced,score_risk_adjusted,capital_efficiency,score_capital_efficient,profile
1,P100,0.0/100.0 pct (min/max of 100d moves),60,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),put_spread,with_flow,5,11,100.0,970.91,710.91,42,40778.22,136.57,485.45,20388.9,224277.9,245.0,1.0,2383.5,696.64,0.697,1.0,True,True,True,True,True,True,97.941,90.455,0.6828571830470805,71.77071830470805,capital_efficient
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,neutral,10,38,94.7,2046.61,1451.05,20,40932.2,141.04,973.89,19477.8,740156.4,211.0,-915.0,11106.0,2435.71,0.4,1.1,True,True,True,True,True,True,93.662,81.76,0.6711622618104132,69.11622618104131,capital_efficient
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,with_flow,10,36,100.0,1377.33,1430.56,20,27546.6,96.28,952.81,19056.2,686023.2,104.25,0.5,20018.0,3362.75,0.283,1.0,True,True,True,True,True,True,81.714,84.245,0.6660398724974835,68.01898724974836,capital_efficient
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,against_flow,10,36,100.0,1377.33,1430.56,20,27546.6,96.28,952.81,19056.2,686023.2,104.25,0.5,20018.0,3362.75,0.283,1.0,True,True,True,True,True,True,81.714,84.245,0.6660398724974835,68.01898724974836,capital_efficient
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,with_flow,5,28,96.4,1779.68,1383.93,21,37373.28,128.6,873.05,18334.05,513353.4,211.0,-440.0,8949.0,1995.36,0.438,1.0,True,True,True,True,True,True,91.16,83.69,0.6308483810597356,65.27483810597356,capital_efficient
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,against_flow,5,28,96.4,1779.68,1383.93,21,37373.28,128.6,873.05,18334.05,513353.4,211.0,-440.0,8949.0,1995.36,0.438,1.0,True,True,True,True,True,True,91.16,83.69,0.6308483810597356,65.27483810597356,capital_efficient
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,neutral,20,41,100.0,1858.0,2271.1,13,24154.0,81.81,1415.22,18397.86,754312.3,165.0,1.0,24607.0,4755.49,0.298,1.0,True,True,True,True,True,True,77.523,84.47,0.6231429703667827,63.80429703667827,capital_efficient
1,P97,1.5/98.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,neutral,15,44,100.0,1742.68,2168.11,13,22654.84,80.38,1324.41,17217.33,757562.5,133.25,1.0,24607.0,4599.77,0.288,1.0,True,True,True,True,True,True,76.994,84.32,0.6108592276222148,62.52592276222148,capital_efficient
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,against_flow,10,32,93.8,1654.44,1382.0,21,34743.24,119.71,768.55,16139.55,516465.6,221.5,-915.0,8949.0,1901.38,0.404,1.0,True,True,True,True,True,True,86.853,81.10000000000001,0.5561143270622286,57.63143270622287,capital_efficient
1,P95,2.5/97.5 pct of 100d moves,36,06:30,09:30,A,A: 06:30-06:50 PST / 09:30-09:50 ET (10-min),iron_condor,with_flow,10,32,93.8,1654.44,1382.0,21,34743.24,119.71,768.55,16139.55,516465.6,221.5,-915.0,8949.0,1901.38,0.404,1.0,True,True,True,True,True,True,86.853,81.10000000000001,0.5561143270622286,57.63143270622287,capital_efficient
