param_percent_beyond,net_pnl,profit_factor,win_rate,total_trades,successful_trades,failed_trades,total_credits,total_gains,total_losses,roi,expectancy
0.003:0.00075,-2780757.86396347,0.7598699517687274,75.45205479452055,1825,1377,448,24250893.0,8799458.291597715,11580216.155561185,-5.204672259796646,-341.7024657534239
0.005:0.001,-2843844.231150971,0.7324861416771234,77.10776102735902,1791,1381,410,22032733.0,7786798.416597714,10630642.647748685,-5.422861192207675,-383.73366834170884
0.002:0.001,-2854405.44990097,0.7642814861030873,74.34497816593887,1832,1362,470,24935046.0,9254976.213472715,12109381.663373685,-5.322954803233931,-416.7325327510898
0.005:0.00075,-3010004.840525971,0.7236629868379917,76.53288740245262,1794,1373,421,22492697.0,7882509.361910214,10892514.202436185,-5.728617480568305,-540.8600891861779
0.001:0.001,-3014136.88740097,0.7614391892569351,73.68421052631578,1843,1358,485,25981413.0,9620532.143160215,12634669.030561185,-5.588401007670445,-332.6570808464503
0.002:0.00075,-3020566.05927597,0.7558399293883865,73.7874659400545,1835,1354,481,25395010.0,9350687.158785215,12371253.218061185,-5.622169194603896,-570.2942779291516
0.015:0.001,-3072463.738963469,0.657084355423772,76.7750497677505,1507,1157,350,17877159.0,5887360.018160214,8959823.757123683,-6.947213822261671,-788.8792302587908
0.00075:0.001,-3085336.30146347,0.7593820234903632,73.41291372761802,1843,1353,490,26173988.0,9737214.807222715,12822551.108686185,-5.72094754350463,-374.667390124795
0.001:0.00075,-3180297.49677597,0.7533991789694628,73.13109425785483,1846,1350,496,26441377.0,9716243.088472715,12896540.585248685,-5.88539381857167,-485.44041170097444
0.015:0.00075,-3238624.3483384727,0.6488038002957625,76.09271523178808,1510,1149,361,18337123.0,5983070.963472714,9221695.311811186,-7.306149308898815,-974.7529801324517
0.00075:0.00075,-3251496.91083847,0.7514986335667557,72.86023835319611,1846,1345,501,26633952.0,9832925.752535215,13084422.663373685,-6.017719170738207,-527.3824485373743
0.01:0.001,-3305050.6999009727,0.6602853922398877,77.28365384615384,1664,1286,378,19562632.0,6423852.986910214,9728903.686811186,-6.773981905405946,-798.8990384615408
0.0075:0.001,-3404274.8170884727,0.6636013400515796,77.4842044801838,1741,1349,392,20471153.0,6715488.494722714,10119763.311811186,-6.67304059911319,-736.8449167145318
0.01:0.00075,-3471211.3092759727,0.6525583625525273,76.66466706658667,1667,1278,389,20022596.0,6519563.932222714,9990775.241498686,-7.099767088792396,-967.2489502099625
0.0075:0.00075,-3570435.426463471,0.6560815832595702,76.89220183486239,1744,1341,403,20931117.0,6811199.440035214,10381634.866498685,-6.984845743554964,-897.8686926605496
