trial	hash	status	op	score	ann_sharpe	hold_sharpe	ann_roi	max_dd	win_d	improvement_pct	profit_target	stop_loss	apply_dtes	apply_tiers	apply_sides
178	2d0823a	discard	swap_tiers	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	call,put
179	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
180	69bca02	discard	shift_profit_target	11.7463	11.746	11.220	57659.83	0.00	100.00	+4.7	65	100	0,1,3	conservative	call,put
181	3b8952f	discard	toggle_dte	11.3171	11.317	11.220	58880.72	0.00	100.00	+0.9	70	100	0,3	conservative	call,put
182	3b8952f	discard	toggle_dte	11.3171	11.317	11.220	58880.72	0.00	100.00	+0.9	70	100	0,3	conservative	call,put
183	7ef5d7c	discard	toggle_dte	11.6592	11.659	11.220	58380.61	0.00	100.00	+3.9	70	100	1,3	conservative	call,put
184	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
185	7ef5d7c	discard	toggle_dte	11.6592	11.659	11.220	58380.61	0.00	100.00	+3.9	70	100	1,3	conservative	call,put
186	d0803e9	discard	shift_profit_target	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
187	3b8952f	discard	toggle_dte	11.3171	11.317	11.220	58880.72	0.00	100.00	+0.9	70	100	0,3	conservative	call,put
188	692878e	discard	swap_tiers	10.4545	10.566	11.220	53811.89	0.32	98.17	-5.8	70	100	0,1,3	aggressive	call,put
189	d0803e9	discard	shift_profit_target	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
190	43da125	discard	toggle_dte	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1	conservative	call,put
191	49e726a	discard	swap_tiers	9.0699	9.344	11.220	43097.67	0.88	93.88	-16.7	70	100	0,1,3	aggressive,moderate	call,put
192	3b8952f	discard	toggle_dte	11.3171	11.317	11.220	58880.72	0.00	100.00	+0.9	70	100	0,3	conservative	call,put
193	b03f3f1	discard	shift_profit_target	11.6907	11.691	11.220	57807.10	0.00	100.00	+4.2	75	100	0,1,3	conservative	call,put
194	692878e	discard	swap_tiers	10.4545	10.566	11.220	53811.89	0.32	98.17	-5.8	70	100	0,1,3	aggressive	call,put
195	b03f3f1	discard	shift_profit_target	11.6907	11.691	11.220	57807.10	0.00	100.00	+4.2	75	100	0,1,3	conservative	call,put
196	692878e	discard	swap_tiers	10.4545	10.566	11.220	53811.89	0.32	98.17	-5.8	70	100	0,1,3	aggressive	call,put
197	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
198	7199ef7	discard	shift_stop_loss	11.6885	11.688	11.220	57403.23	0.00	100.00	+4.2	70	50	0,1,3	conservative	call,put
199	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
200	69bca02	discard	shift_profit_target	11.7463	11.746	11.220	57659.83	0.00	100.00	+4.7	65	100	0,1,3	conservative	call,put
201	d0803e9	discard	shift_profit_target	11.6765	11.676	11.220	57876.93	0.00	100.00	+4.1	80	100	0,1,3	conservative	call,put
202	ed1439a	discard	swap_tiers	10.6574	10.848	11.220	46973.37	0.53	97.86	-3.3	70	100	0,1,3	conservative,moderate	call,put
203	0380632	discard	toggle_side	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1,3	conservative	put
204	ce78f1f	discard	toggle_side	11.2199	11.220	11.220	59573.74	0.00	100.00	+0.0	70	100	0,1,3	conservative	call
205	49e726a	discard	swap_tiers	9.0699	9.344	11.220	43097.67	0.88	93.88	-16.7	70	100	0,1,3	aggressive,moderate	call,put
206	43da125	discard	toggle_dte	11.7466	11.747	11.220	57687.59	0.00	100.00	+4.7	70	100	0,1	conservative	call,put
