trial	hash	status	op	score	ann_sharpe	hold_sharpe	ann_roi	max_dd	win_d	improvement_pct	profit_target	stop_loss	apply_dtes	apply_tiers	apply_sides
151	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
152	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
153	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
154	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
155	c9eaf87	discard	swap_tiers	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
156	cb64e02	discard	shift_profit_target	11.3697	11.370	11.220	56926.43	0.00	100.00	+1.3	40	9999	0,3	aggressive,conservative,moderate	put
157	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
158	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
159	cb64e02	discard	shift_profit_target	11.3697	11.370	11.220	56926.43	0.00	100.00	+1.3	40	9999	0,3	aggressive,conservative,moderate	put
160	e2b12fb	discard	swap_tiers	11.2465	11.246	11.220	58111.87	0.00	100.00	+0.2	30	9999	0,3	aggressive	put
161	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
162	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
163	c9eaf87	discard	swap_tiers	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
164	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
165	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
166	ecd91da	discard	swap_tiers	11.4155	11.416	11.220	57842.14	0.00	100.00	+1.7	30	9999	0,3	conservative,moderate	put
167	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
168	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
169	36e5fa4	discard	swap_tiers	11.3447	11.345	11.220	58274.22	0.00	100.00	+1.1	30	9999	0,3	moderate	put
170	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
171	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
172	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
173	e2b12fb	discard	swap_tiers	11.2465	11.246	11.220	58111.87	0.00	100.00	+0.2	30	9999	0,3	aggressive	put
174	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
175	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
176	0a63142	discard	toggle_dte	10.9581	10.958	11.220	54652.23	0.00	100.00	-2.3	30	9999	0,2,3	aggressive,conservative,moderate	put
177	eccef70	discard	swap_tiers	11.2952	11.295	11.220	59141.65	0.00	100.00	+0.7	30	9999	0,3	conservative	put
178	ecd91da	discard	swap_tiers	11.4155	11.416	11.220	57842.14	0.00	100.00	+1.7	30	9999	0,3	conservative,moderate	put
179	ecd91da	discard	swap_tiers	11.4155	11.416	11.220	57842.14	0.00	100.00	+1.7	30	9999	0,3	conservative,moderate	put
180	cb64e02	discard	shift_profit_target	11.3697	11.370	11.220	56926.43	0.00	100.00	+1.3	40	9999	0,3	aggressive,conservative,moderate	put
181	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
182	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
183	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
184	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
185	63efa8d	discard	toggle_side	11.3482	11.348	11.220	55279.65	0.00	100.00	+1.1	30	9999	0,3	aggressive,conservative,moderate	call,put
186	df63ff9	discard	shift_profit_target	11.4180	11.418	11.220	56595.35	0.00	100.00	+1.8	35	9999	0,3	aggressive,conservative,moderate	put
187	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
188	0a63142	discard	toggle_dte	10.9581	10.958	11.220	54652.23	0.00	100.00	-2.3	30	9999	0,2,3	aggressive,conservative,moderate	put
189	a975223	discard	swap_tiers	11.3604	11.360	11.220	56812.35	0.00	100.00	+1.3	30	9999	0,3	aggressive,moderate	put
190	a975223	discard	swap_tiers	11.3604	11.360	11.220	56812.35	0.00	100.00	+1.3	30	9999	0,3	aggressive,moderate	put
191	eccef70	discard	swap_tiers	11.2952	11.295	11.220	59141.65	0.00	100.00	+0.7	30	9999	0,3	conservative	put
192	c9eaf87	discard	toggle_side	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
193	eccef70	discard	swap_tiers	11.2952	11.295	11.220	59141.65	0.00	100.00	+0.7	30	9999	0,3	conservative	put
194	1cb4fc9	discard	toggle_dte	11.2609	11.261	11.220	59293.61	0.00	100.00	+0.4	30	9999	3	aggressive,conservative,moderate	put
195	0a63142	discard	toggle_dte	10.9581	10.958	11.220	54652.23	0.00	100.00	-2.3	30	9999	0,2,3	aggressive,conservative,moderate	put
196	c9eaf87	discard	shift_profit_target	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
197	e7f4bac	discard	toggle_dte	11.1556	11.156	11.220	54530.02	0.00	100.00	-0.6	30	9999	0,1,3	aggressive,conservative,moderate	put
198	222b80c	discard	toggle_dte	11.3912	11.391	11.220	56660.39	0.00	100.00	+1.5	30	9999	0	aggressive,conservative,moderate	put
199	c9eaf87	discard	swap_tiers	11.4251	11.425	11.220	56380.26	0.00	100.00	+1.8	30	9999	0,3	aggressive,conservative,moderate	put
200	e2b12fb	discard	swap_tiers	11.2465	11.246	11.220	58111.87	0.00	100.00	+0.2	30	9999	0,3	aggressive	put
201	0a63142	discard	toggle_dte	10.9581	10.958	11.220	54652.23	0.00	100.00	-2.3	30	9999	0,2,3	aggressive,conservative,moderate	put
202	0a63142	discard	toggle_dte	10.9581	10.958	11.220	54652.23	0.00	100.00	-2.3	30	9999	0,2,3	aggressive,conservative,moderate	put
