rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
448,10,30,7,6,both,0.02,0.0125,118,94.92,165316.0,108360.0,249737.16,-141377.16,0.4339,-2.47
449,20,30,8,6,both,0.015,0.01,400,90.25,1244697.0,840065.08,981603.09,-141538.01,0.8558,-0.73
450,30,30,12,6,both,0.02,0.0075,526,90.3,4040966.0,1749861.6,1892232.95,-142371.35,0.9248,-0.56
451,10,30,9,6,both,0.025,0.0125,307,94.79,790563.0,510641.0,653147.73,-142506.73,0.7818,-0.95
452,10,30,7,6,both,0.025,0.0125,116,94.83,162626.0,105670.0,249737.16,-144067.16,0.4231,-2.56
453,30,20,12,7,both,0.015,0.0075,474,88.61,4286615.0,2019068.17,2163262.98,-144194.81,0.9333,-0.62
454,30,10,8,7,both,0.015,0.0075,170,91.18,528289.0,421329.16,569357.64,-148028.48,0.74,-1.76
455,30,10,12,7,both,0.015,0.0125,208,88.46,1450250.0,865698.33,1014536.27,-148837.94,0.8533,-1.44
456,20,20,11,6,both,0.015,0.0075,526,89.54,3900655.0,2024550.71,2173509.77,-148959.06,0.9315,-0.57
457,20,30,11,8,both,0.015,0.005,464,83.84,5674783.0,2668114.72,2817827.23,-149712.51,0.9469,-0.66
458,10,30,12,9,both,0.015,0.0125,181,84.53,1904592.0,755360.99,905930.17,-150569.18,0.8338,-1.7
459,30,30,13,6,both,0.025,0.0125,316,92.72,1938852.0,641054.2,791733.64,-150679.45,0.8097,-0.98
460,20,30,13,6,both,0.025,0.0125,316,92.72,1938772.0,640974.2,791733.64,-150759.45,0.8096,-0.98
