rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
2659,20,10,13,10,both,0.025,0.005,41,85.37,533724.0,251706.0,298982.0,-47276.0,0.8419,-2.32
2660,30,10,13,10,both,0.025,0.005,41,85.37,533724.0,251706.0,298982.0,-47276.0,0.8419,-2.32
2661,30,30,8,6,both,0.015,0.0075,45,82.22,706280.0,301874.0,350049.8,-48175.8,0.8624,-2.19
2662,20,10,12,10,both,0.02,0.005,41,85.37,513722.0,250747.0,299025.0,-48278.0,0.8385,-2.37
2663,10,10,13,12,both,0.02,0.005,12,83.33,124465.0,51534.89,99835.0,-48300.11,0.5162,-8.11
2664,10,10,13,12,both,0.025,0.005,12,83.33,124465.0,51534.89,99835.0,-48300.11,0.5162,-8.11
2665,30,10,13,11,both,0.015,0.0075,24,79.17,392881.0,200377.89,249262.0,-48884.11,0.8039,-4.1
2666,30,10,12,10,both,0.02,0.005,41,85.37,513042.0,250067.0,299025.0,-48958.0,0.8363,-2.41
2667,30,10,13,12,both,0.02,0.005,13,84.62,123445.0,50514.89,99835.0,-49320.11,0.506,-7.68
2668,20,10,13,12,both,0.02,0.005,12,83.33,123253.0,50322.89,99835.0,-49512.11,0.5041,-8.32
2669,20,10,13,12,both,0.025,0.005,12,83.33,123253.0,50322.89,99835.0,-49512.11,0.5041,-8.32
2670,30,10,13,12,both,0.025,0.005,12,83.33,123253.0,50322.89,99835.0,-49512.11,0.5041,-8.32
2671,10,10,12,10,both,0.02,0.005,41,85.37,511622.0,248647.0,299025.0,-50378.0,0.8315,-2.48
2672,10,10,12,10,both,0.025,0.005,41,85.37,510736.0,247761.0,299025.0,-51264.0,0.8286,-2.52
2673,20,10,12,10,both,0.025,0.005,41,85.37,510536.0,247561.0,299025.0,-51464.0,0.8279,-2.53
2674,30,10,12,10,both,0.025,0.005,41,85.37,510536.0,247561.0,299025.0,-51464.0,0.8279,-2.53
2675,20,30,9,8,both,0.02,0.0125,33,87.88,225411.0,142489.0,196078.0,-53589.0,0.7267,-3.34
2676,10,30,9,8,both,0.02,0.0125,32,87.5,225227.0,142305.0,196078.0,-53773.0,0.7258,-3.45
2677,30,30,9,8,both,0.02,0.0125,33,87.88,225105.0,142183.0,196078.0,-53895.0,0.7251,-3.35
2678,10,20,10,9,both,0.02,0.0125,27,85.19,289962.0,143712.0,197750.0,-54038.0,0.7267,-4.05
2679,20,20,10,9,both,0.02,0.0125,27,85.19,289962.0,143712.0,197750.0,-54038.0,0.7267,-4.05
2680,30,20,10,9,both,0.02,0.0125,27,85.19,289962.0,143712.0,197750.0,-54038.0,0.7267,-4.05
2681,10,20,10,9,both,0.025,0.0125,27,85.19,289962.0,143712.0,197750.0,-54038.0,0.7267,-4.05
