rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
2512,20,30,13,10,both,0.02,0.01,11,54.55,366629.0,22418.0,246789.0,-224371.0,0.0908,-41.87
2513,30,30,13,10,both,0.02,0.01,11,54.55,366629.0,22418.0,246789.0,-224371.0,0.0908,-41.87
2514,10,30,12,7,both,0.02,0.0125,15,66.67,342564.0,21504.0,245940.0,-224436.0,0.0874,-30.62
2515,10,30,12,7,both,0.025,0.0125,15,66.67,342564.0,21504.0,245940.0,-224436.0,0.0874,-30.62
2516,20,30,12,7,both,0.025,0.0125,15,66.67,342564.0,21504.0,245940.0,-224436.0,0.0874,-30.62
2517,30,30,12,7,both,0.025,0.0125,15,66.67,342564.0,21504.0,245940.0,-224436.0,0.0874,-30.62
2518,20,30,13,7,both,0.02,0.0125,16,68.75,366474.0,22263.0,246789.0,-224526.0,0.0902,-28.69
2519,30,30,13,7,both,0.02,0.0125,16,68.75,366474.0,22263.0,246789.0,-224526.0,0.0902,-28.69
2520,20,10,13,10,both,0.015,0.0125,11,54.55,288378.0,24448.0,249070.0,-224622.0,0.0982,-41.17
2521,10,20,10,6,both,0.02,0.0125,19,73.68,109369.0,21263.0,245894.0,-224631.0,0.0865,-23.94
2522,20,20,10,6,both,0.02,0.0125,19,73.68,109369.0,21263.0,245894.0,-224631.0,0.0865,-23.94
2523,30,20,10,6,both,0.02,0.0125,19,73.68,109369.0,21263.0,245894.0,-224631.0,0.0865,-23.94
2524,10,20,10,6,both,0.025,0.0125,19,73.68,109369.0,21263.0,245894.0,-224631.0,0.0865,-23.94
2525,20,20,10,6,both,0.025,0.0125,19,73.68,109369.0,21263.0,245894.0,-224631.0,0.0865,-23.94
2526,30,20,10,6,both,0.025,0.0125,19,73.68,109369.0,21263.0,245894.0,-224631.0,0.0865,-23.94
2527,10,10,13,8,both,0.015,0.01,10,50.0,347280.0,23532.0,248252.0,-224720.0,0.0948,-45.33
2528,10,10,13,8,both,0.02,0.01,10,50.0,347280.0,23532.0,248252.0,-224720.0,0.0948,-45.33
2529,10,10,13,8,both,0.025,0.01,10,50.0,347280.0,23532.0,248252.0,-224720.0,0.0948,-45.33
2530,20,10,13,8,both,0.025,0.01,10,50.0,347280.0,23532.0,248252.0,-224720.0,0.0948,-45.33
2531,30,10,13,8,both,0.025,0.01,10,50.0,347280.0,23532.0,248252.0,-224720.0,0.0948,-45.33
2532,10,10,11,7,both,0.02,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2533,10,10,11,6,both,0.02,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2534,20,10,11,7,both,0.02,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2535,20,10,11,6,both,0.02,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2536,30,10,11,7,both,0.02,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2537,30,10,11,6,both,0.02,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2538,10,10,11,7,both,0.025,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2539,10,10,11,6,both,0.025,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2540,20,10,11,7,both,0.025,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2541,20,10,11,6,both,0.025,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2542,30,10,11,7,both,0.025,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2543,30,10,11,6,both,0.025,0.01,14,64.29,239244.0,23422.0,248178.0,-224756.0,0.0944,-32.35
2544,10,20,12,7,both,0.015,0.0125,16,68.75,343200.0,23892.0,248692.0,-224800.0,0.0961,-28.39
2545,20,20,12,10,both,0.02,0.01,11,54.55,357050.0,23779.0,248729.0,-224950.0,0.0956,-41.58
2546,30,20,12,10,both,0.02,0.01,11,54.55,357050.0,23779.0,248729.0,-224950.0,0.0956,-41.58
2547,10,10,12,8,both,0.015,0.01,10,50.0,300002.0,23532.0,248530.0,-224998.0,0.0947,-45.36
2548,10,10,12,8,both,0.02,0.01,10,50.0,300002.0,23532.0,248530.0,-224998.0,0.0947,-45.36
2549,10,10,12,8,both,0.025,0.01,10,50.0,300002.0,23532.0,248530.0,-224998.0,0.0947,-45.36
2550,20,10,12,8,both,0.025,0.01,10,50.0,300002.0,23532.0,248530.0,-224998.0,0.0947,-45.36
2551,30,10,12,8,both,0.025,0.01,10,50.0,300002.0,23532.0,248530.0,-224998.0,0.0947,-45.36
2552,20,30,12,8,both,0.02,0.0125,11,54.55,341975.0,20915.0,245940.0,-225025.0,0.085,-42.02
2553,30,30,12,8,both,0.02,0.0125,11,54.55,341975.0,20915.0,245940.0,-225025.0,0.085,-42.02
2554,20,30,12,10,both,0.02,0.01,11,54.55,350969.0,22418.0,247449.0,-225031.0,0.0906,-41.94
2555,30,30,12,10,both,0.02,0.01,11,54.55,350969.0,22418.0,247449.0,-225031.0,0.0906,-41.94
